"url","name","number","address","currentlyForRent","averagePrice","listingTime"
"/find-agents/branch/bridgfords-wakefield-sales-wakefield-54160/","Bridgfords - Wakefield Sales","01924 842496","176-180 Lower Kirkgate, Wakefield, WF1 1UD","97","£226,333","14 weeks"
"/find-agents/branch/castle-dwellings-castleford-1448/","Castle Dwellings","01977 308897","22 Bank Street, Castleford, WF10 1JD","247","£220,625£542 pcm","24 weeks3 weeks"
"/find-agents/branch/hodsons-wakefield-3866/","Hodsons","01924 732294","37-39 George Street, Wakefield, WF1 1LX","558","£309,870£1,296 pcm","7 weeks4 weeks"
"/find-agents/branch/linley-and-simpson-north-leeds-leeds-19028/","Linley & Simpson - North Leeds","0113 427 7670","54 Street Lane, Roundhay, Leeds, LS8 2ET","4021","£246,238£1,183 pcm","15 weeks-"
"/find-agents/branch/manning-stainton-wakefield-wakefield-15644/","Manning Stainton - Wakefield","01924 909912","62-64 Northgate, Wakefield, WF1 3AP","140","£267,747","16 weeks"
"/find-agents/branch/martin-and-co-wakefield-wakefield-15941/","Martin & Co Wakefield","01924 765816","52 Northgate, Wakefield, WF1 3AN","283","£157,357£763 pcm","18 weeks11 weeks"
"/find-agents/branch/move-now-properties-wakefield-29984/","Move Now Properties","01924 841131","10 Rishworth Street, Wakefield, WF1 3BY","3511","£261,125£841 pcm","16 weeks2 weeks"
"/find-agents/branch/redroots-property-pontefract-146173/","RedRoots Property","01977 308742","17 Barnsley Road, Pontefract, WF9 2RN","547","£195,074£698 pcm","12 weeks6 weeks"
"/find-agents/branch/reeds-rains-wakefield-wakefield-6377/","Reeds Rains - Wakefield","01924 765824","4 Bull Ring, Wakefield, WF1 1HA","6621","£258,413£888 pcm","13 weeks3 weeks"
"/find-agents/branch/richard-kendall-wakefield-wakefield-6538/","Richard Kendall - Wakefield","01924 842411","66 Northgate, Wakefield, WF1 3AP","317","£300,909","17 weeks"
"/find-agents/branch/william-h-brown-wakefield-wakefield-8041/","William H Brown - Wakefield","01924 841132","2 Wood Street, Wakefield, WF1 2ED","20420","£256,850£988 pcm","20 weeks4 weeks"
