"url","name","price","address","bedroom","bathrooms","livingroom","createdAt","agenturl"
"/for-sale/details/64697170/?search_identifier=99e16b31a9e99917e0dc2ed7c940611a945d537ac0b499acd87ac20df407d434","5 bed terraced house for sale","£475,000","Townsend Square, Oxford OX4","5","2",,"23rd May 2023","/find-agents/branch/chamberlain-evans-oxford-33362/"
"/for-sale/details/64695088/?search_identifier=99e16b31a9e99917e0dc2ed7c940611a945d537ac0b499acd87ac20df407d434","2 bed bungalow for sale","£415,000","Botley, Oxford OX2","2","1",,"23rd May 2023","/find-agents/branch/chancellors-botley-oxford-1517/"
"/for-sale/details/64693580/?search_identifier=99e16b31a9e99917e0dc2ed7c940611a945d537ac0b499acd87ac20df407d434","3 bed detached bungalow for sale","£550,000","Botley, Oxford OX2","3","1","1","23rd May 2023","/find-agents/branch/chancellors-botley-oxford-1517/"
"/for-sale/details/64691692/?search_identifier=99e16b31a9e99917e0dc2ed7c940611a945d537ac0b499acd87ac20df407d434","3 bed detached house for sale","£650,000","Cumnor, Oxford OX2","3","2",,"23rd May 2023","/find-agents/branch/chancellors-botley-oxford-1517/"
"/for-sale/details/64691431/?search_identifier=99e16b31a9e99917e0dc2ed7c940611a945d537ac0b499acd87ac20df407d434","4 bed semi-detached house for sale","£1,150,000","Lark Hill, Oxford OX2","4","2","1","23rd May 2023","/find-agents/branch/penny-and-sinclair-summertown-16670/"
"/for-sale/details/64691307/?search_identifier=99e16b31a9e99917e0dc2ed7c940611a945d537ac0b499acd87ac20df407d434","3 bed terraced house for sale","£625,000","Summertown, Oxford OX2","3","1","1","23rd May 2023","/find-agents/branch/chancellors-summertown-oxford-1510/"
"/for-sale/details/64688935/?search_identifier=99e16b31a9e99917e0dc2ed7c940611a945d537ac0b499acd87ac20df407d434","4 bed end terrace house for sale","£395,000","Sandy Lane, Littlemore, Oxford OX4","4","2","2","23rd May 2023","/find-agents/branch/amelies-estate-agents-oxford-61460/"
"/for-sale/details/64688306/?search_identifier=99e16b31a9e99917e0dc2ed7c940611a945d537ac0b499acd87ac20df407d434","2 bed flat for sale","£275,000","Headington, Oxford OX3","2","1","1","23rd May 2023","/find-agents/branch/chancellors-headington-oxford-13802/"
"/for-sale/details/64684276/?search_identifier=99e16b31a9e99917e0dc2ed7c940611a945d537ac0b499acd87ac20df407d434","5 bed terraced house for sale","£450,000","Headington, Oxford OX3","5","2","1","22nd May 2023","/find-agents/branch/chancellors-headington-oxford-13802/"
"/for-sale/details/64684051/?search_identifier=99e16b31a9e99917e0dc2ed7c940611a945d537ac0b499acd87ac20df407d434","2 bed end terrace house for sale","£360,000","Headington, Oxford OX3","2","1","1","22nd May 2023","/find-agents/branch/chancellors-headington-oxford-13802/"
"/for-sale/details/64680590/?search_identifier=99e16b31a9e99917e0dc2ed7c940611a945d537ac0b499acd87ac20df407d434","1 bed flat for sale","£200,000","Wood Farm Road, Headington, Oxford OX3","1","1","1","22nd May 2023","/find-agents/branch/connells-headington-oxford-oxford-1990/"
"/for-sale/details/64680221/?search_identifier=99e16b31a9e99917e0dc2ed7c940611a945d537ac0b499acd87ac20df407d434","2 bed terraced house for sale","£510,000","Princes Street, Oxford, Oxfordshire OX4","2","1","2","22nd May 2023","/find-agents/branch/college-and-county-ltd-thame-148001/"
"/for-sale/details/64680161/?search_identifier=99e16b31a9e99917e0dc2ed7c940611a945d537ac0b499acd87ac20df407d434","2 bed flat for sale","£300,000","Egrove Close, Oxford OX1","2","1","1","22nd May 2023","/find-agents/branch/martin-and-co-oxford-and-thame-oxford-15909/"
"/for-sale/details/64678536/?search_identifier=99e16b31a9e99917e0dc2ed7c940611a945d537ac0b499acd87ac20df407d434","4 bed semi-detached house for sale","£650,000","Oswestry Road, New Hinksey OX1","4","2","1","22nd May 2023","/find-agents/branch/penny-and-sinclair-oxford-55334/"
"/for-sale/details/64676099/?search_identifier=99e16b31a9e99917e0dc2ed7c940611a945d537ac0b499acd87ac20df407d434","3 bed semi-detached house for sale","£400,000","Cricket Road, Oxford OX4","3","1","2","20th May 2023","/find-agents/branch/allen-and-harris-oxford-rose-hill-oxford-20006/"
"/for-sale/details/64675496/?search_identifier=99e16b31a9e99917e0dc2ed7c940611a945d537ac0b499acd87ac20df407d434","2 bed flat for sale","£445,000","White House Road, Oxford OX1","2","2","1","20th May 2023","/find-agents/branch/penny-and-sinclair-oxford-55334/"
"/for-sale/details/64675124/?search_identifier=99e16b31a9e99917e0dc2ed7c940611a945d537ac0b499acd87ac20df407d434","2 bed flat for sale","£335,000","Leopold Street, Oxford OX4","2","1","1","20th May 2023","/find-agents/branch/wallers-estate-agents-oxford-76958/"
"/for-sale/details/64675021/?search_identifier=99e16b31a9e99917e0dc2ed7c940611a945d537ac0b499acd87ac20df407d434","2 bed semi-detached house for sale","£325,000","Lockheart Crescent, Oxford OX4","2","1","1","20th May 2023","/find-agents/branch/allen-and-harris-oxford-rose-hill-oxford-20006/"
"/for-sale/details/64672960/?search_identifier=99e16b31a9e99917e0dc2ed7c940611a945d537ac0b499acd87ac20df407d434","3 bed semi-detached house for sale","£495,000","Coverley Road, Headington, Oxford OX3","3","1","2","19th May 2023","/find-agents/branch/scott-fraser-headington-oxford-6859/"
"/for-sale/details/63853618/?search_identifier=99e16b31a9e99917e0dc2ed7c940611a945d537ac0b499acd87ac20df407d434","2 bed flat for sale","£295,000","Spring Lane, Headington, Oxford OX3","2","2","1","19th May 2023","/find-agents/branch/scott-fraser-headington-oxford-6859/"
"/for-sale/details/64672659/?search_identifier=99e16b31a9e99917e0dc2ed7c940611a945d537ac0b499acd87ac20df407d434","3 bed end terrace house for sale","£625,000","Charles Street, Oxford OX4","3","1",,"19th May 2023","/find-agents/branch/chamberlain-evans-oxford-33362/"
"/for-sale/details/64670883/?search_identifier=99e16b31a9e99917e0dc2ed7c940611a945d537ac0b499acd87ac20df407d434","2 bed flat for sale","£425,000","Cumnor Hill, Oxford OX2","2","2","1","19th May 2023","/find-agents/branch/chancellors-botley-oxford-1517/"
"/for-sale/details/64669246/?search_identifier=99e16b31a9e99917e0dc2ed7c940611a945d537ac0b499acd87ac20df407d434","3 bed detached house for sale","£550,000","Botley, Oxford OX2","3","1","1","19th May 2023","/find-agents/branch/chancellors-botley-oxford-1517/"
"/for-sale/details/64668142/?search_identifier=99e16b31a9e99917e0dc2ed7c940611a945d537ac0b499acd87ac20df407d434","3 bed end terrace house for sale","£625,000","Charles Street, Oxford OX4","3","1","2","19th May 2023","/find-agents/branch/scott-fraser-east-oxford-oxfordshire-12785/"
"/for-sale/details/64661168/?search_identifier=99e16b31a9e99917e0dc2ed7c940611a945d537ac0b499acd87ac20df407d434","3 bed terraced house for sale","£435,000","Peel Place, Oxford OX1","3","1",,"18th May 2023","/find-agents/branch/chamberlain-evans-oxford-33362/"
